,animal_id,breed,age,Success,Sex,Size,life_expectancy,Percent through Life
151,A668527,Chihuahua Shorthair Mix,0.23211177049038195,1,Male,small,15,0.01547411803269213
152,A692291,Chihuahua Shorthair Mix,0.15509672797296772,0,Female,small,15,0.010339781864864514
153,A689785,Chihuahua Shorthair Mix,10.000657858211401,0,Male,small,15,0.66671052388076
154,A649685,Chihuahua Shorthair Mix,3.6647455685834296,1,Male,small,15,0.2443163712388953
155,A688712,Chihuahua Shorthair Mix,3.0211853159962976,0,Male,small,15,0.20141235439975316
156,A686697,Chihuahua Shorthair Mix,3.1365595764762073,0,Male,small,15,0.2091039717650805
157,A682072,Chihuahua Shorthair Mix,0.46195335975413593,1,Male,small,15,0.03079689065027573
158,A692494,Chihuahua Shorthair Mix,0.17182267793163294,0,Female,small,15,0.011454845195442197
159,A674202,Chihuahua Shorthair Mix,3.0136427624569064,1,Female,small,15,0.2009095174971271
160,A679650,Chihuahua Shorthair Mix,0.1686189464685943,0,Female,small,15,0.011241263097906287
161,A676544,Chihuahua Shorthair Mix,3.0136332558353542,0,Female,small,15,0.20090888372235696
162,A683580,Chihuahua Shorthair Mix,2.0002863394411476,0,Male,small,15,0.13335242262940986
163,A677523,Chihuahua Shorthair Mix,1.009416879044592,0,Female,small,15,0.06729445860297281
164,A692452,Chihuahua Shorthair Mix,0.35510653880640947,1,Female,small,15,0.02367376925376063
165,A670460,Chihuahua Shorthair Mix,1.0011252037268998,0,Female,small,15,0.06674168024845999
166,A673392,Chihuahua Shorthair Mix,2.0993434346891298,1,Female,small,15,0.13995622897927532
167,A693411,Chihuahua Shorthair Mix,10.027597722365583,0,Male,small,15,0.6685065148243722
168,A663042,Chihuahua Shorthair Mix,0.33511411368246213,1,Female,small,15,0.022340940912164143
169,A664475,Chihuahua Shorthair Mix,2.003396906012976,0,Male,small,15,0.1335597937341984
170,A685574,Chihuahua Shorthair Mix,1.5023884435987354,0,Female,small,15,0.10015922957324902
171,A681862,Chihuahua Shorthair Mix,1.014050406389058,0,Male,small,15,0.0676033604259372
172,A684798,Chihuahua Shorthair Mix,4.010349288486417,0,Female,small,15,0.26735661923242776
173,A678515,Chihuahua Shorthair Mix,5.020154037690332,0,Female,small,15,0.33467693584602215
174,A676713,Chihuahua Shorthair Mix,4.004867770499509,0,Female,small,15,0.26699118469996724
175,A670587,Chihuahua Shorthair Mix,6.02805936390815,0,Male,small,15,0.4018706242605433
176,A683532,Chihuahua Shorthair Mix,4.024074948683257,1,Female,small,15,0.26827166324555046
177,A677070,Chihuahua Shorthair Mix,5.00088221448003,0,Female,small,15,0.333392147632002
178,A664139,Chihuahua Shorthair Mix,2.030741752245274,0,Female,small,15,0.13538278348301827
179,A665569,Chihuahua Shorthair Mix,0.35780641932718976,0,Female,small,15,0.023853761288479318
180,A692683,Chihuahua Shorthair Mix,2.016957150994811,1,Male,small,15,0.13446381006632074
181,A691444,Chihuahua Shorthair Mix,0.7194173885995073,1,Male,small,15,0.047961159239967154
182,A668189,Chihuahua Shorthair Mix,2.041088759142518,0,Male,small,15,0.13607258394283453
183,A690502,Chihuahua Shorthair Mix,2.514881665377569,0,Female,small,15,0.16765877769183793
184,A673656,Chihuahua Shorthair Mix,2.028108418075358,1,Female,small,15,0.13520722787169054
185,A674752,Chihuahua Shorthair Mix,1.4970476236107975,0,Female,small,15,0.0998031749073865
186,A680896,Chihuahua Shorthair Mix,1.0610302287749462,0,Male,small,15,0.07073534858499642
187,A676947,Chihuahua Shorthair Mix,3.026953933954078,1,Female,small,15,0.20179692893027185
188,A668592,Chihuahua Shorthair Mix,2.013821867206947,0,Female,small,15,0.1342547911471298
189,A685188,Chihuahua Shorthair Mix,1.0502592265564812,0,Male,small,15,0.07001728177043208
190,A686761,Chihuahua Shorthair Mix,2.011352046927726,1,Female,small,15,0.13409013646184842
191,A670458,Chihuahua Shorthair Mix,2.0227333742498326,1,Female,small,15,0.1348488916166555
192,A651871,Chihuahua Shorthair Mix,5.901771501886494,0,Female,small,15,0.3934514334590996
193,A670765,Chihuahua Shorthair Mix,12.012920639483813,0,Female,small,15,0.8008613759655875
194,A667174,Chihuahua Shorthair Mix,8.013157924757753,0,Male,small,15,0.5342105283171835
195,A668596,Chihuahua Shorthair Mix,0.08346813722694131,0,Female,small,15,0.005564542481796087
196,A668271,Chihuahua Shorthair Mix,8.013222569784306,1,Male,small,15,0.5342148379856204
197,A669936,Chihuahua Shorthair Mix,2.054972229257122,1,Male,small,15,0.13699814861714146
198,A690370,Chihuahua Shorthair Mix,3.0300740071474586,0,Male,small,15,0.20200493380983056
199,A625274,Chihuahua Shorthair Mix,4.659054524657514,1,Female,small,15,0.3106036349771676
200,A680609,Chihuahua Shorthair Mix,0.258732212160414,1,Male,small,15,0.0172488141440276
201,A693830,Chihuahua Shorthair Mix,1.512421731984762,1,Female,small,15,0.10082811546565079
202,A675352,Chihuahua Shorthair Mix,6.005526769505496,0,Female,small,15,0.4003684513003664
203,A673401,Chihuahua Shorthair Mix,3.005062085844032,0,Male,small,15,0.20033747238960214
204,A665720,Chihuahua Shorthair Mix,0.20437715277445045,1,Female,small,15,0.013625143518296697
205,A680374,Chihuahua Shorthair Mix,1.0204483626935834,0,Male,small,15,0.0680298908462389
206,A610763,Chihuahua Shorthair Mix,10.627876228350571,1,Female,small,15,0.708525081890038
207,A688291,Chihuahua Shorthair Mix,2.0254370574192335,0,Male,small,15,0.13502913716128223
208,A671080,Chihuahua Shorthair Mix,2.0143827578785176,1,Female,small,15,0.13429218385856784
209,A691845,Chihuahua Shorthair Mix,2.5367126711096812,0,Female,small,15,0.16911417807397874
210,A674974,Chihuahua Shorthair Mix,4.0235996176056545,1,Female,small,15,0.2682399745070436
211,A666555,Chihuahua Shorthair Mix,2.1156815144884713,1,Male,small,15,0.14104543429923141
212,A688261,Chihuahua Shorthair Mix,0.49199048120997235,1,Male,small,15,0.03279936541399816
213,A669902,Chihuahua Shorthair Mix,2.4470272033877034,1,Male,small,15,0.16313514689251357
214,A691552,Chihuahua Shorthair Mix,4.092248833157271,0,Male,small,15,0.2728165888771514
215,A679229,Chihuahua Shorthair Mix,0.2868699106301521,0,Female,small,15,0.019124660708676806
216,A692938,Chihuahua Shorthair Mix,8.028997857587767,1,Male,small,15,0.5352665238391844
217,A691191,Chihuahua Shorthair Mix,2.0161585947844394,0,Male,small,15,0.13441057298562928
